year,Global,NHem,SHem,Tropics,Pacific,Atlantic,Indian
2001,18.233866809339528,15.930880555218506,16.22504382814921,24.905223016337153,20.70919417161231,18.654656948117555,26.959020067891252
2002,18.25675080913753,16.213387640452183,16.217275952027087,24.92166741600497,20.779348962524747,18.577271964983087,27.031858536220053
2003,18.283018736936363,16.387027324144128,16.321395063487973,25.18768837166356,20.76156072732879,18.73677758616133,27.028538712019593
2004,18.26995480639447,16.24989972812084,16.088247193753237,24.892052701596224,20.793673955122927,18.669084350837995,26.903184522553442
2005,18.270272957406203,16.070400542218128,16.210284999688625,24.87732594637072,20.76819332781886,18.741415925681796,26.970342978922545
2006,18.27524245904831,16.277493532208833,16.31481088364221,25.10407446192314,20.733671335337185,18.79058332039585,26.960002239840076
2007,18.20001435918835,16.196013554607646,16.27822688028932,25.06357732630981,20.614981803263845,18.680540741393706,27.0154654513122
2008,18.192379266358564,16.2657150858922,16.43297700566429,25.31573376058209,20.62328765581083,18.733131404769104,26.859538976161804
2009,18.316301478704844,16.297605551168644,16.457924925507296,25.20008946903427,20.81740851982702,18.73446699291805,27.096606169955596
2010,18.32389085575623,16.335245766668503,16.47729897298561,25.382224092671148,20.68874249484596,18.882732782141584,27.278935144150168
2011,18.232059181596366,16.195992208131795,16.370601192930575,24.991831235818506,20.61311857322897,18.74536950158116,26.997708597594233
2012,18.286661095106947,16.109141978544343,16.092371121305778,24.73694187246972,20.714341452298118,18.7304253434476,27.10460314884078
2013,18.318044318750125,16.220154805400583,16.33908726308251,25.005089054946062,20.784004303050963,18.734367656373532,27.120505472941943
2014,18.406285351707044,16.499375410985998,16.353495755464525,25.075038579175292,20.922326298504956,18.768912359486347,27.190389375095858
2015,18.505061308993966,16.330137298192614,16.356589570899256,25.05871151862596,21.066858039064698,18.77003925614482,27.38125799049636
2016,18.551300387395198,16.575782685148592,16.523326078475087,25.41933872282982,21.094994612265157,18.873962937705407,27.38440875390345
2017,18.519948673897805,16.609326221789914,16.430222773924996,25.308105793887485,21.042392261592468,18.909415418503027,27.236964915281654
2018,18.4773963111765,16.496700583607662,16.524483876874537,25.390203109685007,21.013931277151073,18.873207176528084,27.127775645707747
2019,18.571040093283905,16.598670087545365,16.77007361701178,25.669048889597732,21.084235004104386,18.989991073395856,27.386954499845466
2020,18.543694092836905,16.596188970238014,16.57603303009507,25.487755787392814,21.046530073096765,19.00043263700402,27.38955493088341
2021,18.439581664780775,16.55613509142974,16.592427746389543,25.505798134679477,20.89083218875199,19.024651646058324,27.18957222590474
2022,18.48886946356696,16.467167224152632,16.642710862022017,25.411116370393444,20.953444369335074,19.05546402096203,27.165133656831667
2023,18.701665686710637,16.729072653489084,16.675815463831896,25.49435850996181,21.20848775590885,19.292268984940467,27.315900009955325
2024,18.74687810064533,16.760285104567572,16.871566739533318,25.698024840377276,21.19190407315509,19.347198243144792,27.62761609087602
